Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Ben White,3.0,England,22.0,0.0018587360594795538,1,1,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,1.0,3.0,2.0,100%,0.0,0.0,2.0,2.0,1.0,0.0,5.0,8.0,5.0,1.0,4.0,3.0,0.0,0.0,0.09747423428654378,0.005576933801795772,50.5,0.0,1.0,1%,0.0,4.0,,,,,,,,,0,0,2,0.0,2,0
Tariq Lamptey,2.0,England,19.0,0.01858736059479554,4,4,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,1.0,11.0,12.0,83%,0.0,2.0,23.0,16.0,8.0,0.0,41.0,57.0,51.0,17.0,5.0,10.0,0.0,0.0,0.012048192771084338,0.01349617980034577,22.09,4.0,27.0,15%,0.0,3.0,,,,,,,,,3,0,16,0.0,2,0
Lewis Dunk,5.0,England,28.0,0.20631970260223048,28,49,0.027932960893854747,,3.0,3.0,0.0,,,119.5245283018868,,,1.0,,27.0,162.0,151.0,56%,4.0,16.0,173.0,547.0,304.0,4.0,725.0,560.0,362.0,15.0,345.0,192.0,4.0,2.0,0.04819277108433735,0.2990909597903073,47.89,3.0,10.0,20%,6.0,506.0,,,,,,,,,21,1,80,1.0,2,0
Adam Webster,4.0,England,25.0,0.05947955390334572,8,13,0.011173184357541898,,2.0,1.0,0.0,,,119.5245283018868,,,0.0,,6.0,47.0,33.0,55%,0.0,3.0,48.0,112.0,55.0,0.0,184.0,179.0,108.0,14.0,114.0,68.0,1.0,1.0,0.0,0.11153867603591545,60.64,2.0,6.0,33%,1.0,120.0,,,,,,,,,4,0,14,0.0,2,0
Bernardo,30.0,Brazil,25.0,0.06505576208178437,9,16,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,2.0,46.0,89.0,66%,0.0,5.0,40.0,86.0,49.0,1.0,169.0,212.0,109.0,22.0,75.0,38.0,0.0,0.0,0.0,0.06212704255200491,30.97,3.0,48.0,19%,0.0,35.0,,,,,,,,,5,0,20,6.0,2,0
Dan Burn,33.0,England,28.0,0.07992565055762081,11,19,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,1.0,,9.0,60.0,73.0,64%,0.0,5.0,51.0,203.0,129.0,1.0,175.0,270.0,191.0,19.0,165.0,68.0,0.0,0.0,0.09747423428654378,0.0998828843901623,40.73,2.0,51.0,20%,3.0,62.0,,,,,,,,,5,0,38,3.0,2,0
Joël Veltman,34.0,Netherlands,28.0,0.15000115929483956,0,0,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,2,0
Romaric Yapi,52.0,France,20.0,0.15000115929483956,0,0,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,2,0
Alex Cochrane,50.0,England,20.0,0.15000115929483956,0,0,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,2,0
Haydon Roberts,58.0,England,18.0,0.15000115929483956,0,0,0.06814937525333523,,0.0,0.0,0.0,,,119.5245283018868,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,2,0
