Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Niels Nkounkou,18.0,France,19.0,81.7006237006237,0,0,1.148846721304978e-16,,0.0,0.0,0.0,,,1.3941664213081824e-16,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,6,0
Fabian Delph,8.0,England,30.0,185.0,76,73,-0.4008991811372518,0.04,0.0,1.0,6.0,0.0,0.0,0.24011842687185722,36.0,25%,5.0,3.0,,,395.0,71%,,36.0,283.0,213.0,55.0,,1011.0,987.0,706.0,259.0,130.0,165.0,,5.0,8.0,2.0652360614507232,47.88,7.0,195.0,27%,13.0,508.0,,,,,,,,,29,3,140,1.0,6,3
Gylfi Sigurdsson,10.0,Iceland,31.0,284.0,114,110,3.0915141433958158,0.21,3.0,45.0,13.0,9.0,7.0,4.743171903985386,221.0,37%,20.0,31.0,,,348.0,67%,,203.0,283.0,163.0,44.0,,1015.0,863.0,1223.0,197.0,88.0,246.0,,1.0,45.0,1.6917001331264863,27.3,68.0,1363.0,26%,95.0,204.0,,,,,,,,,20,0,193,16.0,6,3
André Gomes,21.0,Portugal,27.0,48.0,18,19,-0.7889451060853704,0.02,0.0,1.0,0.0,0.0,0.0,-0.9077187339610031,5.0,19%,0.0,1.0,,,64.0,63%,,6.0,27.0,25.0,16.0,,308.0,229.0,338.0,66.0,56.0,45.0,,0.0,2.0,-0.195585919212171,45.19,2.0,28.0,21%,4.0,187.0,,,,,,,,,13,0,89,0.0,6,3
Jean-Philippe Gbamin,25.0,Cote D'Ivoire,24.0,2.0,1,0,1.148846721304978e-16,2.0,0.0,0.0,0.0,0.0,0.0,1.3941664213081824e-16,0.0,0%,0.0,0.0,,,4.0,75%,,0.0,1.0,4.0,3.0,,8.0,11.0,10.0,2.0,3.0,2.0,,0.0,9.090361445783133,-0.9051351622461745,35.0,0.0,0.0,0%,0.0,2.0,,,,,,,,,0,0,2,0.0,6,3
Tom Davies,26.0,England,22.0,106.0,46,34,-0.5302478227866247,0.05,1.0,2.0,2.0,0.0,0.0,-0.5839697911619912,15.0,25%,2.0,4.0,,,132.0,61%,,25.0,100.0,63.0,33.0,,415.0,417.0,486.0,76.0,72.0,118.0,,0.0,4.0,0.0545648382176349,27.44,5.0,43.0,19%,9.0,135.0,,,,,,,,,22,0,116,9.0,6,3
Beni Baningime,34.0,The Democratic Republic Of Congo,22.0,8.0,2,2,1.148846721304978e-16,8.0,0.0,0.0,0.0,0.0,0.0,1.3941664213081824e-16,0.0,0%,0.0,0.0,,,6.0,33%,,0.0,2.0,1.0,0.0,,9.0,9.0,14.0,1.0,1.0,2.0,,0.0,9.090361445783133,-0.9010786634770425,10.25,0.0,0.0,0%,0.0,3.0,,,,,,,,,1,0,4,0.0,6,3
Allan,6.0,Brazil,29.0,2.0,2,0,1.148846721304978e-16,2.0,0.0,0.0,0.0,0.0,0.0,-1.1627936585905276,1.0,100%,0.0,0.0,,,9.0,56%,,0.0,3.0,3.0,1.0,,18.0,16.0,13.0,2.0,1.0,2.0,,0.0,9.090361445783133,-0.8814722527595712,70.0,0.0,2.0,2%,0.0,7.0,,,,,,,,,0,0,4,0.0,6,3
James Rodríguez,19.0,Colombia,29.0,2.0,2,0,-0.7889451060853704,0.5,0.0,0.0,1.0,0.0,0.0,-1.1333619365178902,1.0,25%,0.0,0.0,,,3.0,33%,,1.0,3.0,0.0,0.0,,9.0,12.0,10.0,3.0,1.0,3.0,,0.0,1.0,-0.8919515412464956,54.5,2.0,7.0,29%,3.0,18.0,,,,,,,,,0,0,1,0.0,6,3
Abdoulaye Doucouré,16.0,France,27.0,131.0,40,65,0.24584402710961248,0.13,2.0,12.0,2.0,0.0,0.0,0.6129202397919316,54.0,30%,2.0,11.0,,,235.0,58%,,56.0,143.0,163.0,66.0,,1019.0,576.0,658.0,129.0,154.0,168.0,,1.0,11.0,1.3736030213137196,51.99,15.0,71.0,20%,7.0,213.0,,,,,,,,,31,0,145,10.0,6,3
