Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Paul Pogba,6.0,France,27.0,112.0,63,18,25.0,0.22,4.0,19.0,2.0,7.0,0.0,301.0,110.0,37%,11.0,21.0,,,157.0,67%,,81.0,83.0,116.0,77.0,,718.0,824.0,753.0,239.0,224.0,159.0,,1.0,26.0,7139.0,63.74,21.0,105.0,14%,68.0,547.0,,,,,,,,,19,1,190,13.0
Juan Mata,8.0,Spain,32.0,262.0,136,61,51.0,0.19,2.0,7.0,42.0,2.0,8.0,362.0,133.0,37%,11.0,29.0,,,196.0,71%,,99.0,132.0,63.0,5.0,,1084.0,616.0,890.0,173.0,22.0,68.0,,1.0,52.0,11379.0,43.43,68.0,1099.0,24%,89.0,641.0,,,,,,,,,19,1,134,102.0
Jesse Lingard,14.0,England,27.0,133.0,68,31,18.0,0.14,2.0,15.0,1.0,1.0,0.0,178.0,69.0,39%,6.0,18.0,,,130.0,68%,,53.0,52.0,34.0,4.0,,336.0,358.0,526.0,96.0,19.0,100.0,,0.0,10.0,3536.0,26.59,18.0,121.0,16%,30.0,59.0,,,,,,,,,15,0,140,20.0
Andreas Pereira,15.0,Brazil,24.0,45.0,21,13,2.0,0.04,0.0,1.0,1.0,0.0,0.0,45.0,16.0,36%,0.0,1.0,,,34.0,62%,,14.0,20.0,12.0,4.0,,140.0,101.0,213.0,32.0,13.0,49.0,,1.0,4.0,1111.0,24.69,8.0,88.0,19%,3.0,42.0,,,,,,,,,10,0,42,4.0
Fred,17.0,Brazil,27.0,46.0,22,14,1.0,0.02,0.0,1.0,0.0,0.0,0.0,57.0,12.0,21%,3.0,1.0,,,89.0,55%,,13.0,54.0,35.0,9.0,,339.0,205.0,250.0,50.0,12.0,32.0,,1.0,1.0,2437.0,52.98,4.0,76.0,25%,6.0,170.0,,,,,,,,,10,0,67,2.0
Bruno Fernandes,18.0,Portugal,26.0,15.0,9,1,8.0,0.53,0.0,8.0,0.0,4.0,1.0,47.0,19.0,40%,3.0,4.0,,,24.0,54%,,9.0,11.0,14.0,9.0,,75.0,57.0,76.0,15.0,3.0,11.0,,0.0,7.0,871.0,58.07,3.0,87.0,21%,8.0,52.0,,,,,,,,,2,0,10,2.0
Daniel James,21.0,Wales,22.0,34.0,15,9,3.0,0.09,0.0,3.0,0.0,0.0,0.0,43.0,20.0,47%,0.0,2.0,,,22.0,50%,,11.0,7.0,6.0,1.0,,94.0,111.0,141.0,27.0,8.0,26.0,,0.0,6.0,722.0,21.24,6.0,100.0,15%,4.0,13.0,,,,,,,,,4,0,14,2.0
Nemanja Matic,31.0,Serbia,32.0,208.0,127,36,6.0,0.03,0.0,2.0,4.0,0.0,0.0,134.0,35.0,26%,3.0,7.0,,,491.0,69%,,46.0,337.0,406.0,255.0,,1583.0,1196.0,1009.0,235.0,343.0,239.0,,1.0,19.0,12463.0,59.92,11.0,92.0,20%,26.0,741.0,,,,,,,,,36,3,234,14.0
Scott McTominay,39.0,Scotland,23.0,59.0,33,13,6.0,0.1,0.0,4.0,2.0,0.0,0.0,48.0,17.0,35%,0.0,3.0,,,69.0,64%,,17.0,62.0,62.0,39.0,,259.0,288.0,224.0,38.0,94.0,69.0,,1.0,1.0,1926.0,32.64,2.0,22.0,18%,4.0,94.0,,,,,,,,,6,0,59,1.0
Donny van de Beek,34.0,Netherlands,23.0,1.0,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100%,0.0,0.0,,,1.0,1%,,0.0,0.0,0.0,0.0,,1.0,1.0,3.0,0.0,0.0,1.0,,0.0,9.090361445783133,22.0,22.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
